source,metabolite,comparison,direction,log2fc,control_mean,disease_mean,p_value,fdr,priority_score
Figure6D+F raw data.xlsx:Heatmap,proline,KO_or_PH_vs_WT_or_control,down,-0.673580146365775,3903064.89,2447022.39,0.00448029169068057,0.0270373858656616,1.7297775938251574
sFig6A Raw data.xlsx,Docosyl 4-hydroxybenzoate isomer,PH-CD41_vs_Control-CD41,down,-0.09004041550639881,572019.5233333333,537410.2999999999,,,1.7220866397400134
sFig6A Raw data.xlsx,NAD,PH-mk_vs_Control-mk,up,0.08640589257397159,917414.5,974039.0433333333,,,1.718926127244954
Figure6D+F raw data.xlsx:FDR,cystine,KO_or_PH_vs_WT_or_control,up,0.83695553695409,72914.626,130245.694,0.0170947705213471,0.109266049320283,1.6417006385422177
Figure6D+F raw data.xlsx:FDR,threonine,KO_or_PH_vs_WT_or_control,down,-0.668432618854884,5431614.9,3417517.15,0.00694522595112905,0.0351463739891536,1.6404135069842956
Figure6D+F raw data.xlsx:Heatmap,threonine,KO_or_PH_vs_WT_or_control,down,-0.668432618854884,5431614.9,3417517.15,0.00694522595112905,0.0351463739891536,1.6404135069842956
Figure6D+F raw data.xlsx:FDR,glycine,KO_or_PH_vs_WT_or_control,down,-0.617689057353785,22635977.09,14752183.69,0.0038460918920123,0.0270373858656616,1.5862473042389083
Figure6D+F raw data.xlsx:Heatmap,glycine,KO_or_PH_vs_WT_or_control,down,-0.617689057353785,22635977.09,14752183.69,0.0038460918920123,0.0270373858656616,1.5862473042389083
sFig6A Raw data.xlsx,dodecanoylcarnitine,PH-CD41_vs_Control-CD41,up,0.08608396198718271,207287.47,220032.53666666665,,,1.527763399769308
sFig6A Raw data.xlsx,De-O-methylsterigmatocystin,PH-mk_vs_Control-mk,up,0.0894931686830172,98853.95666666667,105180.24666666666,,,1.4929713952920334
Figure6D+F raw data.xlsx:FDR,phenylalanine,KO_or_PH_vs_WT_or_control,down,-0.688882744808593,2901020.99,1799602.142,0.0283805860038153,0.0737708548515595,1.4687773601593346
Figure6D+F raw data.xlsx:FDR,Methionine sulfoxide,KO_or_PH_vs_WT_or_control,down,-0.977166630573013,908902.218,461700.874,0.0725906324076919,0.337896683930282,1.4376232502678419
Figure6D+F raw data.xlsx:FDR,leucine,KO_or_PH_vs_WT_or_control,down,-0.54863443441874,5964602.13,4077801.28,0.000927969257815008,0.0270373858656616,1.4089125948541976
Figure6D+F raw data.xlsx:Heatmap,leucine,KO_or_PH_vs_WT_or_control,down,-0.54863443441874,5964602.13,4077801.28,0.000927969257815008,0.0270373858656616,1.4089125948541976
Figure6D+F raw data.xlsx:FDR,citrulline,KO_or_PH_vs_WT_or_control,down,-0.600523001320314,1794814.976,1183707.088,0.0129133245479103,0.0484772700583664,1.3898875735687755
Figure6D+F raw data.xlsx:Heatmap,citrulline,KO_or_PH_vs_WT_or_control,down,-0.600523001320314,1794814.976,1183707.088,0.0129133245479103,0.0484772700583664,1.3898875735687755
Figure6D+F raw data.xlsx:FDR,cytidine,KO_or_PH_vs_WT_or_control,down,-0.740004947282453,43490014.8,26039094.0,0.0726953355477924,0.191962379618787,1.2704285609677621
sFig6A Raw data.xlsx,C20:3,PH-mk_vs_Control-mk,down,-0.05608329757405708,5582127.833333333,5369292.0,,,1.2569604007082193
Figure6D+F raw data.xlsx:FDR,Octanoylcarnitine,KO_or_PH_vs_WT_or_control,up,0.731172458831953,1370312.214,2274701.274,0.0669919688685659,0.191962379618787,1.255265087219187
Figure6D+F raw data.xlsx:FDR,ornithine,KO_or_PH_vs_WT_or_control,down,-0.566926002272027,2208392.324,1490783.224,0.0118643728867343,0.0640449429668921,1.243560778744448
Figure6D+F raw data.xlsx:FDR,serine,KO_or_PH_vs_WT_or_control,down,-0.490047900553891,4173788.83,2971743.73,0.00201954681979988,0.0329487052851208,1.2163781035934849
Figure6D+F raw data.xlsx:Heatmap,serine,KO_or_PH_vs_WT_or_control,down,-0.490047900553891,4173788.83,2971743.73,0.00201954681979988,0.0329487052851208,1.2163781035934849
Figure6D+F raw data.xlsx:FDR,De-O-methylsterigmatocystin,KO_or_PH_vs_WT_or_control,up,0.933187380656588,206563.478,394430.9,0.128400757460953,0.544003754146302,1.1799203540735237
Figure6D+F raw data.xlsx:FDR,Propionyl carnitine C3,KO_or_PH_vs_WT_or_control,down,-0.634018706815982,14367785.43,9258298.63,0.0465364521712729,0.144695203898915,1.1663064897388549
Figure6D+F raw data.xlsx:FDR,Glucose,KO_or_PH_vs_WT_or_control,down,-0.822419837201529,2829464.724,1600041.488,0.190761261212263,0.397574832189961,1.1518656931538453
sFig6A Raw data.xlsx,carbamoyl phosphate,PH-CD41_vs_Control-CD41,down,-0.0676233596087394,105134.51333333332,100320.26000000001,,,1.1280854835245524
Figure6D+F raw data.xlsx:FDR,lysoPS(22:0),KO_or_PH_vs_WT_or_control,up,0.532731998137135,10721761.0,15510808.4,0.0179143958098485,0.0775855813241693,1.1241811745155392
Figure6D+F raw data.xlsx:FDR,O-adipoyl-L-carnitine,KO_or_PH_vs_WT_or_control,down,-0.91723332730338,386023.442,204408.492,0.312889475953224,0.599746469108505,1.1208887527639955
Figure6D+F raw data.xlsx:FDR,3-Ureidopropionic acid,KO_or_PH_vs_WT_or_control,down,-0.572977257562341,1526692.156,1026285.358,0.0261568724849353,0.110767577048601,1.1205070733034865
